protein_num,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20
77,6.40E-14,6.40E-14,7.93E-14,6.40E-14,6.29E-14,6.11E-14,5.84E-14,5.54E-14,5.24E-14,4.96E-14,4.70E-14,4.47E-14,4.26E-14,4.07E-14,3.90E-14,3.75E-14,3.61E-14,3.49E-14,3.38E-14,3.28E-14,3.19E-14
78,2.45E-14,2.46E-14,2.43E-14,2.47E-14,2.42E-14,2.35E-14,2.25E-14,2.13E-14,2.01E-14,1.91E-14,1.81E-14,1.72E-14,1.64E-14,1.56E-14,1.50E-14,1.44E-14,1.39E-14,1.34E-14,1.30E-14,1.26E-14,1.22E-14
79,9.30E-15,9.30E-15,1.44E-14,9.06E-15,9.24E-15,8.90E-15,8.51E-15,8.08E-15,7.64E-15,7.23E-15,6.85E-15,6.51E-15,6.20E-15,5.93E-15,5.68E-15,5.46E-15,5.26E-15,5.08E-15,4.92E-15,4.77E-15,4.64E-15
80,3.48E-15,3.48E-15,-4.28E-15,3.41E-15,3.44E-15,3.33E-15,3.22E-15,3.03E-15,2.86E-15,2.71E-15,2.57E-15,2.44E-15,2.32E-15,2.22E-15,2.13E-15,2.04E-15,1.97E-15,1.90E-15,1.84E-15,1.79E-15,1.74E-15
81,1.29E-15,1.29E-15,1.32E-14,1.37E-15,1.30E-15,1.23E-15,1.19E-15,1.12E-15,1.06E-15,1.00E-15,9.50E-16,9.02E-16,8.59E-16,8.21E-16,7.87E-16,7.56E-16,7.28E-16,7.03E-16,6.81E-16,6.61E-16,6.43E-16
82,4.70E-16,4.70E-16,-3.07E-16,5.13E-16,4.85E-16,4.50E-16,4.14E-16,4.09E-16,3.87E-16,3.64E-16,3.47E-16,3.30E-16,3.14E-16,3.00E-16,2.88E-16,2.76E-16,2.66E-16,2.57E-16,2.49E-16,2.42E-16,2.35E-16
83,1.70E-16,1.70E-16,-1.26E-14,1.52E-16,1.59E-16,1.62E-16,1.79E-16,1.48E-16,1.40E-16,1.34E-16,1.25E-16,1.19E-16,1.13E-16,1.08E-16,1.04E-16,9.98E-17,9.61E-17,9.27E-17,8.98E-17,8.72E-17,8.48E-17
84,6.04E-17,6.04E-17,9.67E-15,9.94E-17,7.24E-17,5.82E-17,5.20E-17,5.28E-17,4.99E-17,4.83E-17,4.47E-17,4.27E-17,4.05E-17,3.87E-17,3.70E-17,3.59E-17,3.43E-17,3.30E-17,3.21E-17,3.11E-17,3.02E-17
85,2.13E-17,2.13E-17,4.24E-15,5.14E-17,1.73E-17,2.02E-17,6.00E-19,1.86E-17,1.75E-17,1.97E-17,1.58E-17,1.50E-17,1.47E-17,1.38E-17,1.30E-17,1.24E-17,1.20E-17,1.17E-17,1.13E-17,1.09E-17,1.07E-17
86,7.41E-18,7.41E-18,9.96E-15,-1.50E-16,1.72E-17,7.14E-18,-4.35E-17,6.48E-18,6.43E-18,2.10E-18,5.50E-18,5.81E-18,4.99E-18,4.70E-18,4.47E-18,4.31E-18,4.14E-18,4.06E-18,3.93E-18,3.78E-18,3.71E-18
